ref.no,citation,Review?,Jamie's thesis?,Not found,abbr_ref
497,"Stentiford, G. D., & Neil, D. M. (2011). Diseases of Nephrops and Metanephrops: a review. Journal of invertebrate pathology, 106(1), 92-109.",,,,
498,"Kumar, T. S., Krishnan, P., Makesh, M., Chaudhari, A., Purushothaman, C. S., & Rajendran, K. V. (2011). Natural host-range and experimental transmission of Laem-Singh virus (LSNV). Diseases of aquatic organisms, 96(1), 21-27.",,,,
499,"Chakraborty, A., Otta, S. K., Joseph, B., Kumar, S., Hossain, M. S., Karunasagar, I., ... & Karunasagar, I. (2002). Prevalence of white spot syndrome virus in wild crustaceans along the coast of India. Current Science, 1392-1397.",,,,
500,"Jayasree Sr, L., Janakiram, P., & Madhavi, R. (2001). Epibionts and parasites of Macrobrachium rosenbergii and Metapenaeus dobsoni from Gosthani estuary. Journal of Natural History, 35(2), 157-167.",,,,
501,"Momoyama, K., Hiraoka, M., Inouye, K., Kimura, T., Nakano, H., & Yasui, M. (1997). Mass mortalities in the production of juvenile greasyback shrimp, Metapenaeus ensis, caused by penaeid acute viremia (PAV). Fish Pathology, 32(1), 51-58.",,,,
502,"Wang, C. S., Tsai, Y. J., Kou, G. H., & Chen, S. N. (1997). Detection of white spot disease virus infection in wild-caught greasy back shrimp, Metapenaeus ensis (de Haan) in Taiwan. ____, 32(1), 35-41.",,,,
503,"Yasunobu, H. (2001). Prevention of Lagenidiales Infections inArtemia salinaLarvae by High pH of Rearing Water. Fish Pathology, 36(2), 79-82.",,,,
504,"Chang, Y. S., Peng, S. E., Yu, H. T., Liu, F. C., Wang, C. H., Lo, C. F., & Kou, G. H. (2004). Genetic and phenotypic variations of isolates of shrimp Taura syndrome virus found in Penaeus monodon and Metapenaeus ensis in Taiwan. Journal of General Virology, 85(10), 2963-2968.",,,,
505,"Chu, K. H., & Leong, F. L. S. (1996). Occurrence and influence of Orbione halipori Nierstrasz and Brender à Brandis (Isopoda: Bopyridae) on Metapenaeus joyneri (Miers)(Decapoda: Penaeidae) from the Zhujiang estuary, China. Journal of Natural History, 30(6), 835-839.",,,,
506,"Saravanan, K., Kumar, P. P., Baruah, A., Praveenraj, J., Kumar, T. S., Kumar, S. P., ... & Roy, S. D. (2017). IHHNV infection from the wild shrimps of Andaman and Nicobar Islands, India. Current Science (00113891), 113(10).",,,,
507,"Manivannan, S., Kennedy, B., Karunasagar, I., & Karunasagar, I. (2004). Prevalence of monodon baculovirus in wild Metapenaeus species along the southwest coast of India. Aquaculture, 232(1-4), 63-67.",,,,
508,"Varisco, M., & Vinuesa, J. (2011). Infestation of the squat lobster Munida gregaria (Anomura: Galatheidae) by Pseudione galacanthae (Isopoda: Bopyridae) in San Jorge Gulf, Argentina. Journal of the Marine Biological Association of the United Kingdom, 91(8), 1681-1688.",,,,
509,"Pernet, B., Deconinck, A., Llaban, A., & Archie, J. W. (2008). Evaluating risks associated with transport of the ghost shrimp Neotrypaea californiensis as live bait. Marine Biology, 153(6), 1127-1140.",,,,
510,"Hernroth, B., Krång, A. S., & Baden, S. (2015). Bacteriostatic suppression in Norway lobster (Nephrops norvegicus) exposed to manganese or hypoxia under pressure of ocean acidification. Aquatic Toxicology, 159, 217-224.",,,,
511,"Ridgway, I. D., Small, H. J., Atkinson, R. J. A., Birkbeck, H. T., Taylor, A. C., & Neil, D. M. (2008). Extracellular proteases and possible disease related virulence mechanisms of two marine bacteria implicated in an opportunistic bacterial infection of Nephrops norvegicus. Journal of invertebrate pathology, 99(1), 14-19.",,,,
512,"Small, H. J., Neil, D. M., Taylor, A. C., & Coombs, G. H. (2005). Identification and partial characterisation of metalloproteases secreted by a Mesanophrys-like ciliate parasite of the Norway lobster Nephrops norvegicus. Diseases of aquatic organisms, 67(3), 225-231.",,,,
513,"Krugner-Higby, L., Haak, D., Johnson, P. T., Shields, J. D., Jones III, W. M., Reece, K. S., ... & Rusak, J. A. (2010). Ulcerative disease outbreak in crayfish Orconectes propinquus linked to Saprolegnia australis in Big Muskellunge Lake, Wisconsin. Diseases of aquatic organisms, 91(1), 57-66.",,,,
514,"Kuris, A. M., Torchin, M. E., & Lafferty, K. D. (2004). Parasites in the thoracic ganglion of Pachygrapsus marmoratus (Brachyura: Grapsidae) from the coast of Portugal. Parasite, 11(4), 425-427.",,,,
515,"Martorelli, S. R., Alda, P., Marcotegui, P., Montes, M. M., & La Sala, L. F. (2012). New locations and parasitological findings for the invasive shrimp Palaemon macrodactylus in temperate southwestern Atlantic coastal waters. Aquatic Biology, 15(2), 153-157.",,,,
516,"Cho, H., Park, N. H., Jang, Y., Gwon, Y. D., Cho, Y., Heo, Y. K., ... & Kim, Y. B. (2017). Fusion of flagellin 2 with bivalent white spot syndrome virus vaccine increases survival in freshwater shrimp. Journal of invertebrate pathology, 144, 97-105.",,,,
517,"Longyant, S., Sithigorngul, P., Chaivisuthangkura, P., Rukpratanporn, S., Sithigorngul, W., & Menasveta, P. (2005). Differences in susceptibility of palaemonid shrimp species to yellow head virus (YHV) infection. Diseases of aquatic organisms, 64(1), 5-12.",,,,
518,"Beck, J. T. (1979). Population interactions between a parasitic castrator, Probopyrus pandalicola (Isopoda: Bopyridae), and one of its freshwater shrimp hosts, Palaemonetes paludosus (Decapoda: Caridea). Parasitology, 79(3), 431-449.",,,,
519,"Thompson, A. B., & Margolis, L. (1987). Determination of population discreteness in two species of shrimp, Pandalus jordani and Pandalopsis dispar, from coastal British Columbia using parasite tags and other population characteristics. Canadian Journal of Fisheries and Aquatic Sciences, 44(5), 982-989.",,,,
520,"Sudnik, S. A. (2002). On parasitism of Hemiarthrus abdominalis (Isopoda, Bopyridae, Hemiarthrinae) in the shrimp Pandalus borealis (Decapoda) from the flemish cap (the Northwestern Atlantic). _____________ ______, 81(4), 429-437.",,,,
521,European Alien Species Information Network (EASIN). 2018. Species search and mapping. Accessed at http://alien.jrc.ec.europa.eu/SpeciesMapper,,,,
522,"AquaNIS. Editorial Board, 2015. Information system on Aquatic Non-Indigenous and Cryptogenic Species. World Wide Web electronic publication. www.corpi.ku.lt/databases/aquanis. Version 2.36+. ",,,,
523,"Noever, C., Olson, A., & Glenner, H. (2016). Two new cryptic and sympatric species of the king crab parasite Briarosaccus (Cirripedia: Rhizocephala) in the North Pacific. Zoological journal of the Linnean Society, 176(1), 3-14.",,,,
524,"Kajihara, H., & Kuris, A. M. (2013). Ovicides paralithodis (Nemertea, Carcinonemertidae), a new species of symbiotic egg predator of the red king crab Paralithodes camtschaticus (Tilesius, 1815)(Decapoda, Anomura). ZooKeys, (258), 1.",,,,
525,"Gholamhoseini, B., Afsharnasab, M., & Motallebi, A. A. (2013). Rate (ROI) and severity (SOI) of infection of white spot disease in cultured and captured penaeid shrimps in the Persian Gulf using histopathology and polymerase chain reaction. Iranian Journal of Fisheries Sciences, 12(2), 335-347.",,,,
526,"Gopalakrishnan, A., Rajkumar, M., Ravichandran, S., Trilles, J. P., & Vasanthan, T. M. (2009). Identification of Parapenaeopsis stylifera, a new host for Epipenaeon ingens.",,,,
527,"Galil, B., Froglia, C. and Noel, P.Y. 2018. CIESM Atlas of exotic crustaceans in the Mediterranean Sea. Accessed at http://www.ciesm.org/atlas/appendix2.html",,,,
528,"Kriem, M. R., Banni, B., El Bouchtaoui, H., Hamama, A., El Marrakchi, A., Chaouqy, N., ... & Quilici, M. L. (2015). Prevalence of Vibrio spp. in raw shrimps (Parapenaeus longirostris) and performance of a chromogenic medium for the isolation of Vibrio strains. Letters in applied microbiology, 61(3), 224-230.",,,,
529,"Panebianco, A., Giarratana, F., Muscolino, D., Ziino, G., Beninati, C., Falsone, L., ... & Giuffrida, A. (2015). Incidence, aetiology and inspective notes of cottony in Mediterranean deep-water rose shrimp Parapenaeus longirostris (Crustacea: Decapoda). Cah. Biol. Mar, 56, 105-110.",,,,
530,"Korun, J., Göko_lu, M., Balci, B. A., & Özvarol, Y. (2013). Infestation of brown shrimp, Farfantepenaeus aztecus, Ives (1891)(Penaeidae) by Epipenaeon ingens, Nobili (1906)(Isopoda, Bopyridae) from the Antalya Bay, Turkey. Revue de Médecine Vétérinaire, 164(12), 559-563.",,,,
531,"Aguirre-Guzman, G., Sanchez-Martinez, J. G., Pérez-Castañeda, R., & Orta-Rodriguez, R. (2010). Detection of necrotizing hepatopancreatitis (NHP) in wild shrimp from Laguna Madre, Mexico by a multiplex polymerase chain reaction. The Thai Journal of Veterinary Medicine, 40(3), 337-341.",,,,
532,"Guzman-Saenz, F. M., Molina-Garza, Z. J., Pérez-Castañeda, R., Ibarra-Gomez, J. C., & Galavíz-Silva, L. (2009). Infectious hypodermal and hematopoietic necrosis virus (IHHNV) and Taura syndrome virus (TSV) in wild shrimp (Farfantepenaeus aztecus Ives, 1891 and Litopenaeus setiferus Linnaeus, 1767) of Laguna Madre, Gulf of Mexico. Rev. Biol. Mar. Oceanogr, 44, 663-672.",,,,
533,"Chávez_Sánchez, M. C., Hernández_Martínez, M., Abad_Rosales, S., Fajer_Ávila, E., Montoya_Rodríguez, L., & ÁLvarez_Torres, P. (2002). A survey of infectious diseases and parasites of penaeid shrimp from the Gulf of Mexico. Journal of the World Aquaculture Society, 33(3), 316-329.",,,,
534,"Vidal_Martínez, V. M., Jiménez_Cueto, A. M., & Simá_Álvarez, R. (2002). Parasites and symbionts of native and cultured shrimps from Yucatán, Mexico. Journal of Aquatic Animal Health, 14(1), 57-64.",,,,
535,"Canning, E. U., Curry, A., & Overstreet, R. M. (2002). Ultrastructure of Tuzetia weidneri sp. n.(Microsporidia: Tuzetiidae) in skeletal muscle of Litopenaeus setiferus and Farfantepenaeus aztecus (Crustacea: Decapoda) and new data on Perezia nelsoni (Microsporidia: Pereziidae) in L. setiferus.",,,,
536,"Costa, S. W., Fraga, A. P. M., Zamparetti, A. S., Marques, M. R. F., & Andreatta, E. R. (2012). Presence of the white spot syndrome virus (WSSV) in wild decapods crustaceans in coastal lagoons in southern Brazil. Arquivo Brasileiro de Medicina Veterinária e Zootecnia, 64(1), 209-216.",,,,
537,"Feigenbaum, D. L. (1975). Parasites of the commercial shrimp Penaeus vannamei Boone and Penaeus brasiliensis Latreille. Bulletin of Marine Science, 25(4), 491-514.",,,,
538,"Pacheco, R., Ascencio, F., Zarain, M., Gómez, G., & Campa, Á. (2011). Enhancement of superoxide dismutase and catalase activity in juvenile brown shrimp, Farfantepenaeus californiensis (Holmes, 1900), fed b-1.3 glucan vitamin E, and b-carotene and infected with white spot syndrome virus. Latin American Journal of Aquatic Research, 39(3).",,,,
539,"Hose, J. E., Lightner, D. V., Redman, R. M., & Danald, D. A. (1984). Observations on the pathogenesis of the imperfect fungus, Fusarium solani, in the California brown shrimp, Penaeus californiensis. Journal of Invertebrate Pathology, 44(3), 292-303.",,,,
540,"Ng, T. F. F., Alavandi, S., Varsani, A., Burghart, S., & Breitbart, M. (2013). Metagenomic identification of a nodavirus and a circular ssDNA virus in semi-purified viral nucleic acids from the hepatopancreas of healthy Farfantepenaeus duorarum shrimp.",,,,
541,"Vidal-Martínez, V. M., Aguirre-Macedo, M. L., Del Rio-Rodríguez, R., Gold-Bouchot, G., Rendón-von Osten, J., & Miranda-Rosas, G. A. (2006). The pink shrimp Farfantepenaeus duorarum, its symbionts and helminths as bioindicators of chemical pollution in Campeche Sound, Mexico. Journal of helminthology, 80(2), 159-174.",,,,
542,"Wang, Q., White, B. L., Redman, R. M., & Lightner, D. V. (1999). Per os challenge of Litopenaeus vannamei postlarvae and Farfantepenaeus duorarum juveniles with six geographic isolates of white spot syndrome virus. Aquaculture, 170(3-4), 179-194.",,,,
543,"Kelly, J. F. (1979). Tissue specificities of Thelohania duorara, Agmasoma penaei, and Pleistophora sp., microsporidian parasites of pink shrimp, Penaeus duorarum. Journal of Invertebrate Pathology, 33(3), 331-339.",,,,
544,"Villella, J. B., Iversen, E. S., & Sindermann, C. J. (1970). Comparison of the parasites of pond-reared and wild pink shrimp (Penaeus duorarum Burkenroad) in South Florida. Transactions of the American Fisheries Society, 99(4), 789-794.",,,,
545,"Vinoj, G., Vaseeharan, B., & Brennan, G. (2014). Green fluorescent protein visualization of Vibrio parahaemolyticus infections in Indian white shrimp Fenneropenaeus indicus (H Milne Edwards). Aquaculture research, 45(12), 1989-1999.",,,,
546,"Selven, S., & Philip, R. (2013). Salinity a significant environmental factor for Vibrio harveyi virulence in Fenneropenaeus indicus. Aquaculture Research, 44(5), 747-759.",,,,
547,"Ravi, M., Basha, A. N., Sarathi, M., Idalia, H. R., Widada, J. S., Bonami, J. R., & Hameed, A. S. (2009). Studies on the occurrence of white tail disease (WTD) caused by MrNV and XSV in hatchery-reared post-larvae of Penaeus indicus and P. monodon. Aquaculture, 292(1-2), 117-120.",,,,
548,"Tang, K. F., Navarro, S. A., Pantoja, C. R., Aranguren, F. L., & Lightner, D. V. (2012). New genotypes of white spot syndrome virus (WSSV) and Taura syndrome virus (TSV) from the Kingdom of Saudi Arabia. Diseases of aquatic organisms, 99(3), 179-185.",,,,
549,"Zhang, Q., Xu, T., Wan, X., Liu, S., Wang, X., Li, X., ... & Huang, J. (2017). Prevalence and distribution of covert mortality nodavirus (CMNV) in cultured crustacean. Virus research, 233, 113-119.",,,,
550,"Duc, P. M., Wada, S., Kurata, O., & Hatai, K. (2010). Pathogenicity of Plectosporium oratosquillae and Acremonium sp. isolated from mantis shrimp Oratosquilla oratoria against kuruma prawn Penaeus japonicus. Fish Pathology, 45(3), 133-136.",,,,
551,"Wang, C.S., K.F.J. Tang, G.H. Kou, S.N. Chen. (1996). Yellow head disease-like virus infection in the kuruma shrimp Penaeus japonicus cultured in Taiwan. Fish Pathology, 31(4), 177-182.",,,,
552,"Jiewkok, A., Tsukimura, B., & Utarabhand, P. (2015). Purification and Molecular Cloning of Hemocyanin from Fenneropenaeus Merguiensis: Response to Vibrio Harveyi Exposure. Journal of Crustacean Biology, 35(5), 659-669.",,,,
553,"Tu, Z., Li, H., Zhang, X., Sun, Y., & Zhou, Y. (2017). Complete genome sequence and comparative genomics of the golden pompano (Trachinotus ovatus) pathogen, Vibrio harveyi strain QT520. PeerJ, 5, e4127.",,,,
554,"Angthong, P., Roytrakul, S., Jarayabhand, P., & Jiravanichpaisal, P. (2017). Involvement of a tachylectin-like gene and its protein in pathogenesis of acute hepatopancreatic necrosis disease (AHPND) in the shrimp, Penaeus monodon. Developmental & Comparative Immunology, 76, 229-237.",,,,
555,"Bateman, K. S., & Stentiford, G. D. (2017). A taxonomic review of viruses infecting crustaceans with an emphasis on wild hosts. Journal of invertebrate pathology, 147, 86-110.",,,,
556,"Kesavan, K., Mani, R., Toshiaki, I., & Sudhakaran, R. (2017). Quick report on prevalence of shrimp microsporidian parasite Enterocytozoon hepatopenaei in India. Aquaculture Research, 48(7), 3980-3984.",,,,
557,"Wang, J. F., Li, M., Xiao, J., Xu, W. J., & Li, C. W. (2017). Hematodinium spp. infections in wild and cultured populations of marine crustaceans along the coast of China. Diseases of aquatic organisms, 124(3), 181-191.",,,,
558,"Malara, D., Hoj, L., Heimann, K., Citarrella, G., & Oelgemöller, M. (2017). Capacity of cationic and anionic porphyrins to inactivate the potential aquaculture pathogen Vibrio campbellii. Aquaculture, 473, 228-236.",,,,
559,"Liu, F., Liu, G., & Li, F. (2016). Characterization of two pathogenic Photobacterium strains isolated from Exopalaemon carinicauda causing mortality of shrimp. Aquaculture, 464, 129-135.",,,,
560,"Paulraj, A., Musthafa, M. S., Altaff, K., Ali, A. R. H., Arockiaraj, J., Balasundaram, C., & Harikrishnan, R. (2016). Chytrid Batrachochytrium dendrobatidis fungal infection in freshwater prawn, Macrobrachium rosenbergii (de Man)-A new report. Aquaculture, 464, 521-528.",,,,
561,"Tuntiwaranuruk, C., Boonmameepool, J., Noppharatarphakul, J., & Upatham, E. S. (2015). Ultrastructure of gametocyst of parasitic protozoan, Nematopsis sp. in black tiger shrimp Penaeus monodon from the Gulf of Thailand. Acta Protozoologica, 54(2), 137.",,,,
562,"Tang, K. F., Pantoja, C. R., Poulos, B. T., Redman, R. M., & Lightner, D. V. (2005). In situ hybridization demonstrates that Litopenaeus vannamei, L. stylirostris and Penaeus monodon are susceptible to experimental infection with infectious myonecrosis virus (IMNV). Diseases of aquatic organisms, 63(2-3), 261-265.",,,,
563,"Sudhakaran, R., Musthaq, S. S., Haribabu, P., Mukherjee, S. C., Gopal, C., & Hameed, A. S. (2006). Experimental transmission of Macrobrachium rosenbergii nodavirus (MrNV) and extra small virus (XSV) in three species of marine shrimp (Penaeus indicus, Penaeus japonicus and Penaeus monodon). Aquaculture, 257(1-4), 136-141.",,,,
564,"Oanh, D. T., van Hulten, M. C., Cowley, J. A., & Walker, P. J. (2011). Pathogenicity of gill-associated virus and Mourilyan virus during mixed infections of black tiger shrimp (Penaeus monodon). Journal of General Virology, 92(4), 893-901.",,,,
565,"Clotilde-Ba, F. L., & Toguebaye, B. S. (1994). Ultrastructure and development of Agmasoma penaei (microspora, thelohaniidae) found in Penaeus notialis (crustacea, decapoda, penaeidae) from Senegal. European journal of protistology, 30(3), 347-353.",,,,
566,"Costa, S. W., Fraga, A. P. M., Zamparetti, A. S., Marques, M. R. F., & Andreatta, E. R. (2012). Presence of the white spot syndrome virus (WSSV) in wild decapods crustaceans in coastal lagoons in southern Brazil. Arquivo Brasileiro de Medicina Veterinária e Zootecnia, 64(1), 209-216.",,,,
567,"Mohajeri, J., Afsharnasab, M., Jalali, B., Kakoolaki, S., Sharifrohani, M., & Haghighi, A. (2011). Immunological and histopathological changes in Penaeus semisulcatus challenged with Vibrio harveyi. Iranian Journal of Fisheries Sciences, 10(2), 254-265.",,,,
568,"Vivekanandhan, G., Hatha, A. A. M., & Lakshmanaperumalsamy, P. (2005). Prevalence of Aeromonas hydrophila in fish and prawns from the seafood market of Coimbatore, South India. Food Microbiology, 22(1), 133-137.",,,,
569,"Sokolova, Y., Pelin, A., Hawke, J., & Corradi, N. (2015). Morphology and phylogeny of Agmasoma penaei (Microsporidia) from the type host, Litopenaeus setiferus, and the type locality, Louisiana, USA. International journal for parasitology, 45(1), 1-16.",,,,
570,"Carreon, N., & Faulkes, Z. (2014). Position of larval tapeworms, Polypocephalus sp., in the ganglia of shrimp, Litopenaeus setiferus. American Zoologist, 54(2), 143-148.",,,,
571,"Rio_Rodriguez, R. E., Sosa_Lopez, A., & Pech, D. (2014). Ex_post facto analysis of diseases of the Gulf of Mexico_ s white shrimp Litopenaeus setiferus. Aquaculture research, 45(5), 907-912.",,,,
572,"Domínguez-Machín, M. E., Hernández-Vergara, M. P., Jiménez-García, I., Simá-Álvarez, R., & Rodríguez-Canul, R. (2011). Survey of protozoan, helminth and viral infections in shrimp Litopenaeus setiferus and prawn Macrobrachium acanthurus native to the Jamapa River region, Mexico. Diseases of aquatic organisms, 96(2), 97-103.",,,,
573,"Guzman-Saenz, F. M., Molina-Garza, Z. J., Pérez-Castañeda, R., Ibarra-Gomez, J. C., & Galavíz-Silva, L. (2009). Infectious hypodermal and hematopoietic necrosis virus (IHHNV) and Taura syndrome virus (TSV) in wild shrimp (Farfantepenaeus aztecus Ives, 1891 and Litopenaeus setiferus Linnaeus, 1767) of Laguna Madre, Gulf of Mexico. Rev. Biol. Mar. Oceanogr, 44, 663-672.",,,,
574,"Goudenège, D., Labreuche, Y., Krin, E., Ansquer, D., Mangenot, S., Calteau, A., ... & Le Roux, F. (2013). Comparative genomics of pathogenic lineages of Vibrio nigripulchritudo identifies virulence-associated traits. The ISME journal, 7(10), 1985.",,,,
575,"González-Galaviz, J. R., Rodriguez-Anaya, L. Z., Molina-Garza, Z. J., Ibarra-Gámez, J. C., & Galaviz-Silva, L. (2013). Genotyping of white spot syndrome virus on wild and farm crustaceans from Sonora, Mexico. Archives of Biological Sciences, 65(3), 945-947.",,,,
576,"Tang, K. F., Pantoja, C. R., Poulos, B. T., Redman, R. M., & Lightner, D. V. (2005). In situ hybridization demonstrates that Litopenaeus vannamei, L. stylirostris and Penaeus monodon are susceptible to experimental infection with infectious myonecrosis virus (IMNV). Diseases of aquatic organisms, 63(2-3), 261-265.",,,,
577,"Goarant, C., Régnier, F., Brizard, R., & Marteau, A. L. (1998). Acquisition of susceptibility to Vibrio penaeicida in Penaeus stylirostris postlarvae and juveniles. Aquaculture, 169(3-4), 291-296.",,,,
578,"Lin, S. J., Hsu, K. C., & Wang, H. C. (2017). Structural Insights into the Cytotoxic Mechanism of Vibrio parahaemolyticus PirAvp and PirBvp Toxins. Marine drugs, 15(12), 373.",,,,
579,"Thirugnanasambandam, R., Inbakandan, D., Abraham, L. S., Kumar, C., Sundaram, S. M., Subashni, B., ... & Balasubramanian, T. (2017). De novo assembly and annotation of the whole genomic analysis of Vibrio campbellii RT-1 strain, from infected shrimp: Litopenaeus vannamei. Microbial pathogenesis, 113, 372-377.",,,,
580,"Teng, T., Liang, L., Chen, K., Xi, B., Xie, J., & Xu, P. (2017). Isolation, identification and phenotypic and molecular characterization of pathogenic Vibrio vulnificus isolated from Litopenaeus vannamei. PloS one, 12(10), e0186135.",,,,
581,"Qiu, L., Chen, M. M., Wan, X. Y., Li, C., Zhang, Q. L., Wang, R. Y., ... & Xiang, J. H. (2017). Characterization of a new member of Iridoviridae, Shrimp hemocyte iridescent virus (SHIV), found in white leg shrimp (Litopenaeus vannamei). Scientific Reports, 7(1), 11834.",,,,
582,"Zhao, C. S., Huang, D., Peng, T., Huang, M. Z., Xie, C. Y., Chen, J., ... & Wang, W. N. (2017). Molecular cloning, characterization and function of a germinal center kinase MST4 gene from Litopenaeus vannamei in response to Vibrio alginolyticus challenge in TLR-TRAF6 signaling pathway. Developmental & Comparative Immunology, 73, 206-219.",,,,
583,"Santhoshkumar, S., Sivakumar, S., Vimal, S., Abdul Majeed, S., Taju, G., Haribabu, P., ... & Sahul Hameed, A. S. (2017). Biochemical changes and tissue distribution of Enterocytozoon hepatopenaei (EHP) in naturally and experimentally EHP_infected whiteleg shrimp, Litopenaeus vannamei (Boone, 1931), in India. Journal of fish diseases, 40(4), 529-539.",,,,
584,"Gai, C., Ou, R., Lu, L., Yang, X., & Cao, H. (2017). Providencia rettgeri: an Emerging Pathogen for Freshwater Cultured Whiteleg Shrimp (Penaeus vannamei). ISRAELI JOURNAL OF AQUACULTURE-BAMIDGEH, 69.",,,,
585,"Pena-Navarro, N., & Varela-Mejias, A. (2016). Prevalence of the principal infectious diseases in cultured white shrimp Penaeus vannamei in Nicoya Gulf, Costa Rica. REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA, 51(3), 553-564.",,,,
586,"Chuang, W. H., Liu, P. C., Chien, Y. C., Wu, Y. C., & Lee, K. K. (2016). Effects of Vibrio harveyi on plasma clotting protein (coagulogen) of white shrimp Litopenaeus vannamei. Aquaculture Research, 47(11), 3464-3476.",,,,
587,"Ochoa, J. L., Ochoa-Alvarez, N., Guzmán-Murillo, M. A., Hernandez, S., & Ascencio, F. (2015). Isolation and risk assessment of Geotrichum spp. in the white shrimp (Litopenaeus vannamei Boone, 1931) from culture ponds. Latin American Journal of Aquatic Research, 43(4).",,,,
588,"Cao, H., An, J., Zheng, W., & He, S. (2015). Vibrio cholerae pathogen from the freshwater-cultured whiteleg shrimp Penaeus vannamei and control with Bdellovibrio bacteriovorus. Journal of invertebrate pathology, 130, 13-20.",,,,
589,"Bahari, A., Afsharnasab, M., Motalbei Moghanjoghi, A., Azaritakami, G., & Shrifrohani, M. (2015). Experimental pathogenicity of shrimp, Penaeus vannamei exposed to monodon baculovirus (MBV). Iranian Journal of Fisheries Sciences, 14(2), 350-357.",,,,
590,"Qiao, G., Xu, D. H., Wang, Z., Jang, I. K., Qi, Z., Zhang, M., & Kim, S. K. (2015). Comparison of immune response of Pacific white shrimp, Litopenaeus vannamei, after multiple and single infections with WSSV and Vibrio anguillarum. Fish & shellfish immunology, 44(1), 257-264.",,,,
591,"Cao, H., Jian, A., He, S., Lu, L., Yang, X., & Zheng, W. (2015). Aeromonas schubertii: a Potential Pathogen for Freshwater Cultured Whiteleg Shrimp, Penaeus vannamei. The Israeli Journal of Aquaculture-Bamidgeh.",,,,
592,"Suebsing, R., Prombun, P., & Kiatpathomchai, W. (2013). Reverse transcription loop_mediated isothermal amplification (RT_LAMP) combined with colorimetric gold nanoparticle (AuNP) probe assay for visual detection of Penaeus vannamei nodavirus (PvNV). Letters in applied microbiology, 56(6), 428-435.",,,,
593,"Senapin, S., Phiwsaiya, K., Gangnonngiw, W., Briggs, M., Sithigorngul, P., & Flegel, T. W. (2013). Dual infections of IMNV and MrNV in cultivated Penaeus vannamei from Indonesia. Aquaculture, 372, 70-73.",,,,
594,"Utari, H. B., Senapin, S., Jaengsanong, C., Flegel, T. W., & Kruatrachue, M. (2012). A haplosporidian parasite associated with high mortality and slow growth in Penaeus (Litopenaeus) vannamei cultured in Indonesia. Aquaculture, 366, 85-89.",,,,
595,"Flores-Miranda, M., Luna-González, A., Campa Córdova, Á. I., Fierro-Coronado, J. A., Partida-Arangure, B. O., Pintado, J., & González-Ocampo, H. A. (2012). Isolation and characterization of infectious Vibrio sinaloensis strainsfrom the Pacific shrimp Litopenaeus vannamei (Decapoda: Penaeidae). Revista de biologia tropical, 60(2), 567-576.",,,,
596,"Tang, K. F., Pantoja, C. R., Redman, R. M., Navarro, S. A., & Lightner, D. V. (2011). Ultrastructural and sequence characterization of Penaeus vannamei nodavirus (PvNV) from Belize. Diseases of aquatic organisms, 94(3), 179-187.",,,,
597,"Altamiranda, J., & Briñez, B. (2011). Presence of Spiroplasma penaei in plankton, benthos and fauna in shrimps farms of Colombia. Revista MVZ Córdoba, 16(2), 2576-2583.",,,,
598,"Silva, L. R. C. D., Souza, O. C. D., Fernandes, M. J. D. S., Lima, D. M. M., Coelho, R. R. R., & Souza-Motta, C. M. (2011). Culturable fungal diversity of shrimp litopenaeus vannamei boone from breeding farms in Brazil. Brazilian Journal of Microbiology, 42(1), 49-56.",,,,
599,"Hasson, K. W., Wyld, E. M., Fan, Y., Lingsweiller, S. W., Weaver, S. J., Cheng, J., & Varner, P. W. (2009). Streptococcosis in farmed Litopenaeus vannamei: a new emerging bacterial disease of penaeid shrimp. Diseases of aquatic organisms, 86(2), 93-106.",,,,
600,"Sardella, N. H., & Martorelli, S. R. (1997). Occurrence of Merogony ofAggregataFrenzel 1885 (Apicomplexa) inPleoticus muelleriandArtemesia longinaris (Crustacea: Natantia) from Patagonian Waters (Argentina). Journal of invertebrate pathology, 70(3), 198-202.",,,,
601,"Hudson, D. A., & Shields, J. D. (1994). Hematodinium australis n. sp., a parasitic dinoflagellate of the sand crab Portunus pelagicus from Moreton Bay, Australia. Diseases of Aquatic Organisms, 19, 109-109.",,,,
602,"Talpur, A. D., Memon, A. J., Khan, M. I., Ikhwanuddin, M., Daniel, M. M. D., & Abol-Munafi, A. B. (2012). Control of Vibrio harveyi Infection in Blue Swimming Crab, Portunus pelagicus Larvae by the Gut Isolated Lactic Acid Bacteria under Challenge Bioassay. Pakistan Veterinary Journal, 32(3).",,,,
603,"Talpur, A. D., Memon, A. J., Khan, M. I., Ikhwanuddin, M., Daniel, M. D., & Abol-Munafi, A. B. (2011). Pathogenicity and antibiotic sensitivity of pathogenic flora associated with the gut of blue swimming crab, Portunus pelagicus (Linnaeus, 1758). J Anim Vet Adv, 10(16), 2119e2011.",,,,
604,"Supamattaya, K., Hoffmann, R. W., Boonyaratpalin, S., & Kanchanaphum, P. (1998). Experimental transmission of white spot syndrome virus (WSSV) from black tiger shrimp Penaeus monodon to the sand crab Portunus pelagicus, mud crab Scylla serrata and krill Acetes sp. Diseases of aquatic organisms, 32(2), 79-85.",,,,
